date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-02,Afghanistan,0,27,10,0,0
2021-04-03,Afghanistan,0,20,17,0,0
2021-04-04,Afghanistan,0,13,24,0,0
2021-04-05,Afghanistan,0,11,26,0,0
2021-04-06,Afghanistan,0,9,18,8,2
2021-04-07,Afghanistan,0,8,12,10,7
2021-04-08,Afghanistan,0,7,6,12,12
2021-04-09,Afghanistan,0,5,6,14,12
2021-04-10,Afghanistan,0,5,4,14,14
2021-04-11,Afghanistan,0,4,4,14,15
2021-04-12,Afghanistan,0,3,4,14,16
2021-04-13,Afghanistan,0,3,2,15,17
2021-04-14,Afghanistan,0,3,2,15,17
2021-04-15,Afghanistan,0,3,1,16,17
2021-04-16,Afghanistan,0,3,0,17,17
2021-04-17,Afghanistan,0,2,1,17,17
2021-04-18,Afghanistan,0,2,1,17,17
2021-04-19,Afghanistan,0,2,1,17,17
2021-04-20,Afghanistan,0,1,2,19,15
2021-04-21,Afghanistan,1,1,1,24,10
2021-04-22,Afghanistan,1,1,1,29,5
2021-04-23,Afghanistan,1,1,1,29,5
2021-04-24,Afghanistan,1,1,0,32,3
2021-04-25,Afghanistan,1,1,0,33,2
2021-04-26,Afghanistan,1,1,0,34,1
2021-04-27,Afghanistan,1,1,0,35,0
2021-04-28,Afghanistan,1,0,1,35,0
2021-04-29,Afghanistan,1,0,1,35,0
2021-04-30,Afghanistan,1,0,1,35,0
2021-05-01,Afghanistan,1,0,1,35,0
2021-05-02,Afghanistan,1,0,0,36,0
2021-05-03,Afghanistan,1,0,0,36,0
2021-05-04,Afghanistan,1,0,0,36,0
2021-05-05,Afghanistan,1,0,0,36,0
2021-05-06,Afghanistan,1,0,0,36,0
2021-05-07,Afghanistan,1,0,0,36,0
2021-05-08,Afghanistan,1,0,0,36,0
2021-05-09,Afghanistan,1,0,0,36,0
2021-05-10,Afghanistan,1,0,0,36,0
2021-05-11,Afghanistan,1,0,0,36,0
2021-05-12,Afghanistan,1,0,0,36,0
2021-05-13,Afghanistan,1,0,0,36,0
2021-05-14,Afghanistan,1,0,0,36,0
2021-05-15,Afghanistan,1,0,0,36,0
2021-05-16,Afghanistan,1,0,0,36,0
2021-05-17,Afghanistan,1,0,0,36,0
2021-05-18,Afghanistan,1,0,0,36,0
2021-05-19,Afghanistan,1,0,0,36,0
2021-05-20,Afghanistan,1,0,0,36,0
2021-05-21,Afghanistan,1,0,0,36,0
2021-05-22,Afghanistan,1,0,0,36,0
2021-05-23,Afghanistan,1,0,0,36,0
2021-05-24,Afghanistan,1,0,0,36,0
2021-05-25,Afghanistan,1,0,0,36,0
2021-05-26,Afghanistan,1,0,0,36,0
2021-05-27,Afghanistan,1,0,0,36,0
2021-05-28,Afghanistan,1,0,0,36,0
2021-05-29,Afghanistan,1,0,0,36,0
2021-05-30,Afghanistan,1,0,0,36,0
2021-05-31,Afghanistan,1,0,0,36,0
2021-06-01,Afghanistan,1,0,0,36,0
2021-06-02,Afghanistan,1,0,0,36,0
2021-06-03,Afghanistan,1,0,0,36,0
2021-06-04,Afghanistan,1,0,0,36,0
2021-06-05,Afghanistan,1,0,0,36,0
2021-06-06,Afghanistan,1,0,0,36,0
